INFO:root:2025-07-29 00:52:40 | EAR=0.32 | Active
INFO:root:2025-07-29 00:52:40 | EAR=0.33 | Active
INFO:root:2025-07-29 00:52:40 | EAR=0.20 | Active
INFO:root:2025-07-29 00:52:40 | EAR=0.28 | Active
INFO:root:2025-07-29 00:52:40 | EAR=0.28 | Active
INFO:root:2025-07-29 00:52:40 | EAR=0.21 | Active
INFO:root:2025-07-29 00:52:40 | EAR=0.27 | Active
INFO:root:2025-07-29 00:52:40 | EAR=0.32 | Active
INFO:root:2025-07-29 00:52:40 | EAR=0.24 | Active
INFO:root:2025-07-29 00:52:40 | EAR=0.29 | Active
INFO:root:2025-07-29 00:52:41 | EAR=0.26 | Active
INFO:root:2025-07-29 00:52:41 | EAR=0.25 | Active
INFO:root:2025-07-29 00:52:41 | EAR=0.25 | Active
INFO:root:2025-07-29 00:52:41 | EAR=0.26 | Active
INFO:root:2025-07-29 00:52:41 | EAR=0.25 | Active
INFO:root:2025-07-29 00:52:41 | EAR=0.32 | Active
INFO:root:2025-07-29 00:52:41 | EAR=0.23 | Active
INFO:root:2025-07-29 00:52:41 | EAR=0.25 | Active
INFO:root:2025-07-29 00:52:41 | EAR=0.24 | Active
INFO:root:2025-07-29 00:52:41 | EAR=0.21 | Active
INFO:root:2025-07-29 00:52:41 | EAR=0.26 | Active
INFO:root:2025-07-29 00:52:41 | EAR=0.30 | Active
INFO:root:2025-07-29 00:52:41 | EAR=0.21 | Active
INFO:root:2025-07-29 00:52:42 | EAR=0.25 | Active
INFO:root:2025-07-29 00:52:42 | EAR=0.21 | Active
INFO:root:2025-07-29 00:52:42 | EAR=0.23 | Active
INFO:root:2025-07-29 00:52:42 | EAR=0.28 | Active
INFO:root:2025-07-29 00:52:42 | EAR=0.18 | Active
INFO:root:2025-07-29 00:52:42 | EAR=0.21 | Active
INFO:root:2025-07-29 00:52:42 | EAR=0.23 | Active
INFO:root:2025-07-29 00:52:42 | EAR=0.29 | Active
INFO:root:2025-07-29 00:52:43 | EAR=0.29 | Active
INFO:root:2025-07-29 00:52:43 | EAR=0.29 | Active
INFO:root:2025-07-29 00:52:43 | EAR=0.29 | Active
INFO:root:2025-07-29 00:52:43 | EAR=0.28 | Active
INFO:root:2025-07-29 00:52:43 | EAR=0.27 | Active
INFO:root:2025-07-29 00:52:43 | EAR=0.30 | Active
INFO:root:2025-07-29 00:52:43 | EAR=0.28 | Active
INFO:root:2025-07-29 00:52:43 | EAR=0.28 | Active
INFO:root:2025-07-29 00:52:43 | EAR=0.30 | Active
INFO:root:2025-07-29 00:52:43 | EAR=0.28 | Active
INFO:root:2025-07-29 00:52:43 | EAR=0.30 | Active
INFO:root:2025-07-29 00:52:43 | EAR=0.27 | Active
INFO:root:2025-07-29 00:52:43 | EAR=0.30 | Active
INFO:root:2025-07-29 00:52:44 | EAR=0.31 | Active
INFO:root:2025-07-29 00:52:44 | EAR=0.32 | Active
INFO:root:2025-07-29 00:52:44 | EAR=0.33 | Active
INFO:root:2025-07-29 00:52:44 | EAR=0.34 | Active
INFO:root:2025-07-29 00:52:44 | EAR=0.33 | Active
INFO:root:2025-07-29 00:52:44 | EAR=0.33 | Active
INFO:root:2025-07-29 00:52:44 | EAR=0.33 | Active
INFO:root:2025-07-29 00:52:44 | EAR=0.33 | Active
INFO:root:2025-07-29 00:52:44 | EAR=0.32 | Active
INFO:root:2025-07-29 00:52:44 | EAR=0.31 | Active
INFO:root:2025-07-29 00:52:44 | EAR=0.33 | Active
INFO:root:2025-07-29 00:52:44 | EAR=0.30 | Active
INFO:root:2025-07-29 00:52:44 | EAR=0.30 | Active
INFO:root:2025-07-29 00:52:45 | EAR=0.29 | Active
INFO:root:2025-07-29 00:52:45 | EAR=0.28 | Active
INFO:root:2025-07-29 00:52:45 | EAR=0.29 | Active
INFO:root:2025-07-29 00:52:45 | EAR=0.30 | Active
INFO:root:2025-07-29 00:52:45 | EAR=0.31 | Active
INFO:root:2025-07-29 00:52:45 | EAR=0.31 | Active
INFO:root:2025-07-29 00:52:45 | EAR=0.31 | Active
INFO:root:2025-07-29 00:52:45 | EAR=0.29 | Active
INFO:root:2025-07-29 00:52:45 | EAR=0.31 | Active
INFO:root:2025-07-29 00:52:45 | EAR=0.32 | Active
INFO:root:2025-07-29 00:52:45 | EAR=0.33 | Active
INFO:root:2025-07-29 00:52:45 | EAR=0.32 | Active
INFO:root:2025-07-29 00:52:45 | EAR=0.32 | Active
INFO:root:2025-07-29 00:52:46 | EAR=0.34 | Active
INFO:root:2025-07-29 00:52:46 | EAR=0.34 | Active
INFO:root:2025-07-29 00:52:46 | EAR=0.32 | Active
INFO:root:2025-07-29 00:52:46 | EAR=0.33 | Active
INFO:root:2025-07-29 00:52:46 | EAR=0.35 | Active
INFO:root:2025-07-29 00:52:46 | EAR=0.35 | Active
INFO:root:2025-07-29 00:52:46 | EAR=0.32 | Active
INFO:root:2025-07-29 00:52:46 | EAR=0.35 | Active
INFO:root:2025-07-29 00:52:46 | EAR=0.34 | Active
INFO:root:2025-07-29 00:52:46 | EAR=0.35 | Active
INFO:root:2025-07-29 00:52:46 | EAR=0.36 | Active
INFO:root:2025-07-29 00:52:46 | EAR=0.34 | Active
INFO:root:2025-07-29 00:52:46 | EAR=0.37 | Active
INFO:root:2025-07-29 00:52:47 | EAR=0.35 | Active
INFO:root:2025-07-29 00:52:47 | EAR=0.34 | Active
INFO:root:2025-07-29 00:52:47 | EAR=0.33 | Active
INFO:root:2025-07-29 00:52:47 | EAR=0.36 | Active
INFO:root:2025-07-29 00:52:47 | EAR=0.33 | Active
INFO:root:2025-07-29 00:52:47 | EAR=0.36 | Active
INFO:root:2025-07-29 00:52:47 | EAR=0.36 | Active
INFO:root:2025-07-29 00:52:47 | EAR=0.33 | Active
INFO:root:2025-07-29 00:52:47 | EAR=0.33 | Active
INFO:root:2025-07-29 00:52:47 | EAR=0.34 | Active
INFO:root:2025-07-29 00:52:47 | EAR=0.33 | Active
INFO:root:2025-07-29 00:52:47 | EAR=0.34 | Active
INFO:root:2025-07-29 00:52:47 | EAR=0.34 | Active
INFO:root:2025-07-29 00:52:48 | EAR=0.35 | Active
INFO:root:2025-07-29 00:52:48 | EAR=0.32 | Active
INFO:root:2025-07-29 00:52:48 | EAR=0.34 | Active
INFO:root:2025-07-29 00:52:48 | EAR=0.36 | Active
INFO:root:2025-07-29 00:52:48 | EAR=0.34 | Active
INFO:root:2025-07-29 00:52:48 | EAR=0.34 | Active
INFO:root:2025-07-29 00:52:48 | EAR=0.32 | Active
INFO:root:2025-07-29 00:52:48 | EAR=0.32 | Active
INFO:root:2025-07-29 00:52:48 | EAR=0.35 | Active
INFO:root:2025-07-29 00:52:48 | EAR=0.35 | Active
INFO:root:2025-07-29 00:52:48 | EAR=0.38 | Active
INFO:root:2025-07-29 00:52:49 | EAR=0.34 | Active
INFO:root:2025-07-29 00:52:49 | EAR=0.36 | Active
INFO:root:2025-07-29 00:52:49 | EAR=0.34 | Active
INFO:root:2025-07-29 00:52:49 | EAR=0.37 | Active
INFO:root:2025-07-29 00:52:49 | EAR=0.32 | Active
INFO:root:2025-07-29 00:52:49 | EAR=0.32 | Active
INFO:root:2025-07-29 00:52:49 | EAR=0.32 | Active
